Metlink_Stop_ID,Route_Number,Route_Name,Direction,Tram_Stop_Name,Stop_Sequence,Tram_Tracker_ID,VicgridX,VicgridY,Boardings,Alightings,DailyUse
21061,75,City(La Trobe/Spencer St) to Vermont South,Down,41-265 Camberwell Rd (Camberwell),0044,2941,2505083.628,2407657.136,18.6945843697,21.8103489876,40.5049333572
21062,75,City(La Trobe/Spencer St) to Vermont South,Down,42-Camberwell Primary School/Camberwell Rd (Camberwell),0045,2942,2505170.718,2407562.743,12.4630565643,6.23152828217,18.6945848465
21063,75,Vermont South to City(La Trobe/Spencer St),Up,42-Camberwell Primary School/Camberwell Rd (Camberwell),0033,1942,2505190.938,2407520.555,3.25527596474,19.5316557884,22.7869317532
21064,75,City(La Trobe/Spencer St) to Vermont South,Down,43-Camberwell Civic Centre/Camberwell Rd (Camberwell),0046,2943,2505336.974,2407381.728,3.11576414108,9.34729242325,12.4630565643
21065,75,Vermont South to City(La Trobe/Spencer St),Up,43-Camberwell Civic Centre/Camberwell Rd (Camberwell),0032,1943,2505344.001,2407357.306,3.25527596474,3.25527596474,6.51055192947
21066,75,City(La Trobe/Spencer St) to Vermont South,Down,44-Trafalgar Rd/Camberwell Rd (Camberwell),0047,2944,2505471.556,2407234.027,6.23152828217,3.11576414108,9.34729242325
21067,75,Vermont South to City(La Trobe/Spencer St),Up,44-Trafalgar Rd/Camberwell Rd (Camberwell),0031,1944,2505503.209,2407178.512,13.0211038589,3.25527596474,16.2763798237
21068,75,City(La Trobe/Spencer St) to Vermont South,Down,45-Bowen St/Camberwell Rd (Camberwell),0048,2945,2505650.991,2407035.238,12.4630565643,6.23152828217,18.6945848465
21069,75,Vermont South to City(La Trobe/Spencer St),Up,45-Bowen St/Camberwell Rd (Camberwell),0030,1945,2505650.096,2407013.041,19.5316560268,3.25527596474,22.7869319916
21070,75,City(La Trobe/Spencer St) to Vermont South,Down,46-Christowel St/Camberwell Rd (Camberwell),0049,2946,2505816.341,2406847.555,9.34729242325,12.4630565643,21.8103489876
21071,75,Vermont South to City(La Trobe/Spencer St),Up,46-Acheron Ave/Camberwell Rd (Camberwell),0029,1946,2505835.674,2406802.036,6.51055192947,6.51055192947,13.0211038589
21072,75,City(La Trobe/Spencer St) to Vermont South,Down,47-Maple Cres/Camberwell Rd (Camberwell),0050,2947,2505953.541,2406690.965,3.11576414108,3.11576414108,6.23152828217
21073,75,Vermont South to City(La Trobe/Spencer St),Up,47-Orange Gr/Camberwell Rd (Camberwell),0028,1947,2505968.477,2406653.218,9.76582789421,,9.76582789421
21074,75,City(La Trobe/Spencer St) to Vermont South,Down,48-Orrong Cres/Camberwell Rd (Camberwell),0051,2948,2506083.702,2406545.476,6.23152828217,9.34729242325,15.5788207054
21075,75,Vermont South to City(La Trobe/Spencer St),Up,48-Glen Iris Rd/Camberwell Rd (Camberwell),0027,1948,2506083.688,2406525.498,35.8080358505,3.25527596474,39.0633118153
21076,75,City(La Trobe/Spencer St) to Vermont South,Down,49-Tyrone St/Camberwell Rd (Camberwell),0052,2949,2506286.852,2406321.129,6.23152828217,3.11576414108,9.34729242325
21077,75,Vermont South to City(La Trobe/Spencer St),Up,49-Wilson Gr/Camberwell Rd (Camberwell),0026,1949,2506294.749,2406288.936,3.25527596474,16.2763800621,19.5316560268
21078,75,City(La Trobe/Spencer St) to Vermont South,Down,50-Fordham Gardens/Camberwell Rd (Camberwell),0053,2950,2506460.969,2406124.546,3.11576414108,12.4630565643,15.5788207054
21079,75,Vermont South to City(La Trobe/Spencer St),Up,50-Smith Rd/Camberwell Rd (Camberwell),0025,1950,2506442.486,2406124.561,9.76582789421,19.5316557884,29.2974836826
21080,75,City(La Trobe/Spencer St) to Vermont South,Down,51-Toorak Rd/Camberwell Rd (Camberwell),0054,2951,2506651.786,2405911.299,12.4630560875,9.34729242325,21.8103485107
21081,75,City(La Trobe/Spencer St) to Vermont South,Down,52-Summerhill Rd/Toorak Rd (Camberwell),0055,2952,2506783.767,2405870.127,31.157640934,3.11576414108,34.2734050751
21082,75,Vermont South to City(La Trobe/Spencer St),Up,52-Summerhill Rd/Toorak Rd (Camberwell),0024,1952,2506812.796,2405852.345,35.8080358505,13.0211038589,48.8291397095
21083,75,City(La Trobe/Spencer St) to Vermont South,Down,53-Highfield Rd/Toorak Rd (Camberwell),0056,2953,2507200,2405809.845,74.7783379555,3.11576414108,77.8941020966
21084,75,Vermont South to City(La Trobe/Spencer St),Up,53-Lithgow St/Toorak Rd (Camberwell),0023,1953,2507243.107,2405789.83,16.2763798237,45.5738642216,61.8502440453
21085,75,City(La Trobe/Spencer St) to Vermont South,Down,54-Oberwyl Rd/Toorak Rd (Camberwell),0057,2954,2507419.113,2405776.358,15.5788202286,9.34729242325,24.9261126518
21086,75,Vermont South to City(La Trobe/Spencer St),Up,54-Grandview Ave/Toorak Rd (Camberwell),0022,1954,2507444.619,2405758.577,29.2974839211,6.51055192947,35.8080358505
21087,75,City(La Trobe/Spencer St) to Vermont South,Down,55-Through Rd/Toorak Rd (Camberwell),0058,2955,2507632.065,2405745.089,6.23152828217,9.34729242325,15.5788207054
21088,75,Vermont South to City(La Trobe/Spencer St),Up,55-Beryl St/Toorak Rd (Camberwell),0021,1955,2507679.569,2405722.848,13.0211038589,3.25527596474,16.2763798237
21089,75,City(La Trobe/Spencer St) to Vermont South,Down,56-Barkly St/Toorak Rd (Camberwell),0059,2956,2507885.492,2405707.119,,31.157640934,31.157640934
21090,75,Vermont South to City(La Trobe/Spencer St),Up,56-Alfred Rd/Toorak Rd (Camberwell),0020,1956,2507925.956,2405685.992,26.0422077179,9.76582789421,35.8080356121
21091,75,City(La Trobe/Spencer St) to Vermont South,Down,57-Fairview Ave/Toorak Rd (Camberwell),0060,2957,2508128.359,2405671.37,18.6945843697,3.11576414108,21.8103485107
21092,75,Vermont South to City(La Trobe/Spencer St),Up,57-Queens Pde/Toorak Rd (Camberwell),0019,1957,2508160.902,2405651.36,48.8291394711,6.51055192947,55.3396914005
21093,75,City(La Trobe/Spencer St) to Vermont South,Down,58-Warrigal Rd/Toorak Rd (Camberwell),0061,2958,2508401.143,2405632.255,81.0098662376,24.9261131287,105.935979366
21094,75,Vermont South to City(La Trobe/Spencer St),Up,58-Warrigal Rd/Burwood Hwy (Burwood),0018,1958,2508438.095,2405621.119,19.5316557884,179.040178299,198.571834087
21095,75,City(La Trobe/Spencer St) to Vermont South,Down,59-Somers St/Burwood Hwy (Burwood),0062,2959,2508717.05,2405595.306,18.6945848465,6.23152828217,24.9261131287
21096,75,Vermont South to City(La Trobe/Spencer St),Up,59-Gilmour St/Burwood Hwy (Burwood),0017,1959,2508716.156,2405581.988,29.2974839211,3.25527596474,32.5527598858
21097,75,City(La Trobe/Spencer St) to Vermont South,Down,60-Roslyn St/Burwood Hwy (Burwood),0063,2960,2508984.616,2405619.441,9.34729242325,6.23152828217,15.5788207054
21098,75,Vermont South to City(La Trobe/Spencer St),Up,60-Millicent St/Burwood Hwy (Burwood),0016,1960,2508990.768,2405611.665,22.7869317532,3.25527596474,26.0422077179
21099,75,City(La Trobe/Spencer St) to Vermont South,Down,61-Presbyterian Ladies College/Burwood Hwy (Burwood),0064,2961,2509283.016,2405671.28,3.11576414108,71.6625733376,74.7783374786
21100,75,Vermont South to City(La Trobe/Spencer St),Up,61-Presbyterian Ladies College/Burwood Hwy (Burwood),0015,1961,2509305.89,2405663.485,6.51055192947,52.0844156742,58.5949676037
21101,75,City(La Trobe/Spencer St) to Vermont South,Down,62-Elgar Rd/Burwood Hwy (Burwood),0065,2962,2509577.022,2405724.224,9.34729242325,87.241394043,96.5886864662
