Metlink_Stop_ID,Boardings,Alightings,wk7am7pm
3170,2.4,4.8,7.2
3171,2.4,4.8,7.2
3172,,,0.0
3173,4.8,4.8,9.6
3174,2.4,,2.4
3175,2.4,4.8,7.2
3176,9.6,,9.6
3177,9.6,2.4,12.0
3178,2.4,,2.4
3179,131.228571429,41.1428571429,172.371428571
318,17.6833855799,15.0060606061,32.689446186
3180,,4.8,4.8
3181,50.2472527473,19.8516483516,70.0989010989
3182,42.4468864469,8.05311355311,50.5
3183,77.8131868132,24.0842490842,101.897435897
3184,3.25824175824,1.69230769231,4.95054945055
3185,12.8553113553,1.64285714286,14.4981684982
3186,44.6483516484,92.8772893773,137.525641026
3187,31.36996337,5.07692307692,36.4468864469
3188,37.9175824176,5.0,42.9175824176
3189,41.1703296703,1.61538461538,42.7857142857
319,7.125,9.5,16.625
3190,149.983516484,11.6978021978,161.681318681
3191,97.8974358974,81.1794871795,179.076923077
3192,9.69230769231,,9.69230769231
3193,18.2564102564,3.23076923077,21.4871794872
3194,43.5333333333,3.23076923077,46.7641025641
3195,61.5,13.5,75.0
3196,,4.5,4.5
3197,47.6820512821,1.6,49.2820512821
3198,62.1384615385,1.61538461538,63.7538461538
3199,25.7948717949,8.07692307692,33.8717948718
32,,1.8,1.8
320,21.1034482759,7.03448275862,28.1379310345
3200,53.0461538462,4.83076923077,57.8769230769
3201,16.8256410256,,16.8256410256
3202,1.61538461538,1.61538461538,3.23076923077
3203,28.6051282051,3.23076923077,31.8358974359
3204,5.8,1.61538461538,7.41538461538
3205,15.4153846154,1.61538461538,17.0307692308
3206,18.7641025641,,18.7641025641
3207,9.01538461538,,9.01538461538
3208,21.2769230769,10.6666666667,31.9435897436
3209,41.2512820513,13.9282051282,55.1794871795
321,43.0011655012,43.7482517483,86.7494172494
3210,4.8,,4.8
3211,12.0,,12.0
3212,9.71666666667,7.3,17.0166666667
3217,,24.4444444444,24.4444444444
3218,,8.33333333333,8.33333333333
3219,2.77777777778,1.55555555556,4.33333333333
3220,19.7777777778,39.5555555556,59.3333333333
3221,7.77777777778,6.22222222222,14.0
3222,12.4444444444,10.8888888889,23.3333333333
3223,4.66666666667,14.0,18.6666666667
3224,18.6666666667,9.33333333333,28.0
3225,3.11111111111,14.0,17.1111111111
3226,,6.22222222222,6.22222222222
3227,1.55555555556,14.0,15.5555555556
3228,,10.8888888889,10.8888888889
3229,,1.55555555556,1.55555555556
3230,15.3611111111,44.2222222222,59.5833333333
3231,41.3611111111,11.8055555556,53.1666666667
3233,6.15384615385,6.15384615385,12.3076923077
3234,3.93886230728,5.15852130326,9.09738361054
3237,11.8380566802,2.0,13.8380566802
3238,11.3150303644,4.21804511278,15.5330754772
3244,,,0.0
3245,23.4401913876,,23.4401913876
3246,6.81818181818,76.1704545455,82.9886363636
3247,,34.3148923445,34.3148923445
3248,,35.5364832536,35.5364832536
3249,2.18181818182,53.6477870813,55.8296052632
3250,5.54545454545,17.7023923445,23.24784689
3251,35.3923444976,114.704665072,150.097009569
3253,,28.3436004785,28.3436004785
3254,3.7625,94.8605263158,98.6230263158
3255,2.27272727273,62.1091507177,64.3818779904
3256,,45.8914473684,45.8914473684
3257,3.36363636364,24.7975478469,28.1611842105
3258,5.21052631579,23.7470095694,28.9575358852
3259,55.5967105263,123.702751196,179.299461722
326,53.0566239316,6.0,59.0566239316
3260,,12.7264354067,12.7264354067
3263,,26.7450956938,26.7450956938
3266,3.47368421053,14.1462320574,17.6199162679
3267,11.1118421053,26.0433014354,37.1551435407
3268,2.27272727273,62.4330143541,64.7057416268
3269,3.125,25.6535287081,28.7785287081
327,109.531080031,7.83760683761,117.368686869
3270,1.73684210526,25.8582535885,27.5950956938
3271,8.79090909091,18.3627990431,27.153708134
3274,189.135466507,25.1351674641,214.270633971
3275,10.0266148325,12.6743421053,22.7009569378
3276,2.27272727273,28.9491626794,31.2218899522
3277,8.47727272727,14.8884569378,23.3657296651
3278,3.74431818182,29.6220095694,33.3663277512
328,143.563636364,76.0646464646,219.628282828
3281,,2.46153846154,2.46153846154
3284,56.1725752508,49.7066889632,105.879264214
3287,,1.1,1.1
329,45.8,,45.8
3292,78.6218668288,143.743742779,222.365609608
3294,1.1,1.1,2.2
3295,,1.1,1.1
3296,1.1,1.1,2.2
3297,1.1,2.2,3.3
3298,,1.1,1.1
3299,,,0.0
33,3.0,6.0,9.0
330,35.7272727273,2.63636363636,38.3636363636
3300,,2.2,2.2
3301,119.95,71.4,191.35
3302,25.375,1.0,26.375
3303,3.1,1.0,4.1
3304,30.0053116449,31.9840802676,61.9893919124
3306,28.7375,12.175,40.9125
3307,4.4,4.4,8.8
3308,2.2,1.1,3.3
3309,4.4,3.3,7.7
331,22.5454545455,,22.5454545455
3310,1.1,3.3,4.4
3311,2.2,5.5,7.7
3312,1.1,5.5,6.6
3313,4.0,15.3,19.3
3314,5.0,1.5,6.5
3315,19.1,12.1,31.2
3316,5.7,10.5,16.2
3318,,1.1,1.1
3319,1.1,,1.1
3320,7.7,2.2,9.9
3321,7.7,,7.7
3322,14.3,2.2,16.5
3323,15.9,11.6,27.5
3324,9.0,5.9,14.9
3325,14.4,7.0,21.4
3326,6.7,,6.7
3327,1.1,3.3,4.4
3328,6.7,9.3,16.0
3329,54.0,5.6,59.6
333,22.7818181818,2.4,25.1818181818
3330,17.8,1.5,19.3
3331,26.2,1.1,27.3
3332,18.6,4.1,22.7
3333,5.2,1.5,6.7
3334,14.5,3.7,18.2
3335,30.4,9.7,40.1
3336,1.1,5.2,6.3
3337,1.1,,1.1
3338,6.0,35.1428571429,41.1428571429
3339,4.5,19.6428571429,24.1428571429
334,26.3636363636,2.4,28.7636363636
3340,,13.6714285714,13.6714285714
3342,,2.6,2.6
3343,1.6,6.3,7.9
3344,25.9412698413,17.746031746,43.6873015873
3345,31.1047619048,10.1714285714,41.2761904762
3346,12.3079365079,6.0,18.3079365079
3347,26.6984126984,13.7079365079,40.4063492063
3348,228.352380952,327.080952381,555.433333333
3349,67.3087912088,91.7725274725,159.081318681
335,181.018181818,16.3454545455,197.363636364
3350,102.5,202.5,305.0
3351,,7.1,7.1
3352,5.31111111111,12.8111111111,18.1222222222
3353,1.1,3.3,4.4
3354,11.0,17.7,28.7
3355,9.27777777778,10.0333333333,19.3111111111
3356,13.8,,13.8
3357,18.0,18.2,36.2
3358,1.1,5.5,6.6
3359,12.3,6.7,19.0
336,106.090909091,11.6363636364,117.727272727
3360,17.8,11.5,29.3
3361,8.1,15.1,23.2
3362,11.4,14.8,26.2
3363,26.2,44.1,70.3
3364,70.525,26.3875,96.9125
3365,7.3125,13.35,20.6625
3366,172.3,314.0125,486.3125
3367,2.6,4.8,7.4
3368,1.5,2.6,4.1
3369,11.1,14.5,25.6
337,66.4727272727,12.4727272727,78.9454545455
3370,3.3,6.7,10.0
3371,5.2,10.1,15.3
3372,2.2,1.5,3.7
3373,1.1,1.1,2.2
3374,3.7,3.7,7.4
3375,,51.0,51.0
3376,,17.5,17.5
3377,,2.6,2.6
3378,3.3,5.2,8.5
3379,,3.3,3.3
338,49.8909090909,7.43636363636,57.3272727273
3380,,2.6,2.6
3381,1.5,9.0,10.5
3384,17.2,20.4,37.6
3386,,28.5,28.5
3387,1.5,3.0,4.5
3388,,8.5,8.5
3389,1.5,9.0,10.5
339,32.6181818182,2.63636363636,35.2545454545
3390,8.0,12.0,20.0
3391,,1.5,1.5
3392,,7.5,7.5
3393,1.5,11.5,13.0
3394,1.5,17.5,19.0
3395,3.0,1.5,4.5
3396,1.5,3.0,4.5
3397,1.0,11.5,12.5
3398,7.5,30.5,38.0
3399,1.5,11.0,12.5
340,2.63636363636,2.63636363636,5.27272727273
3400,,11.0,11.0
3401,3.5,14.0,17.5
3402,1.5,17.5,19.0
3403,,6.5,6.5
3404,5.5,6.0,11.5
3405,3.5,5.0,8.5
3406,98.7142857143,66.4285714286,165.142857143
3407,,10.5,10.5
3408,4.5,21.5,26.0
3409,10.5,,10.5
341,2.63636363636,17.2727272727,19.9090909091
3410,2.0,1.5,3.5
3412,61.5,177.0,238.5
3413,,6.5,6.5
3414,,3.0,3.0
3415,12.0,6.5,18.5
3416,11.0,8.5,19.5
3417,13.0,25.0,38.0
3418,22.5,1.5,24.0
3419,20.5,4.0,24.5
342,9.76363636364,29.3636363636,39.1272727273
3420,82.5,14.5,97.0
3421,46.0502310733,41.6719063545,87.7221374278
3422,13.0,5.5,18.5
3423,11.0,3.0,14.0
3424,5.5,3.0,8.5
3425,6.5,5.0,11.5
3426,215.0,171.0,386.0
3427,,2.0,2.0
3428,,,0.0
3429,1.0,2.0,3.0
343,17.6727272727,35.4181818182,53.0909090909
3430,,8.0,8.0
3431,,,0.0
3432,,,0.0
3433,,,0.0
3434,,,0.0
3438,3.0,,3.0
3439,,,0.0
344,45.8236013986,12.0909090909,57.9145104895
3440,1.0,,1.0
3441,3.0,1.0,4.0
3442,2.0,,2.0
3443,1.0,3.0,4.0
3444,,3.0,3.0
3445,2.0,1.0,3.0
3446,1.0,2.0,3.0
3447,7.0,5.0,12.0
3448,2.0,2.0,4.0
3449,2.0,1.0,3.0
345,26.7963286713,19.2909090909,46.0872377622
3450,,,0.0
3451,,,0.0
3452,,,0.0
3453,,1.0,1.0
3454,,,0.0
3455,,,0.0
3456,8.0,3.0,11.0
3457,,1.0,1.0
3458,1.0,1.0,2.0
3459,2.0,,2.0
346,38.8061188811,10.2840909091,49.0902097902
3460,,1.0,1.0
3461,12.0,15.0,27.0
3462,,,0.0
3463,,1.0,1.0
3464,2.0,,2.0
3465,,4.0,4.0
3466,,4.0,4.0
3467,77.5,61.2291666667,138.729166667
3468,4.0,,4.0
3469,,,0.0
347,40.6909090909,13.7090909091,54.4
3470,,,0.0
3471,1.1,5.2,6.3
3472,8.2,46.3,54.5
3473,177.8,177.9,355.7
3474,2.2,1.1,3.3
3475,9.8,22.5,32.3
3476,6.0375,4.0,10.0375
3477,,4.4,4.4
3478,6.3,8.2,14.5
348,63.7818181818,16.6545454545,80.4363636364
3480,35.8368421053,9.55263157895,45.3894736842
3481,36.3894736842,39.7789473684,76.1684210526
3482,25.5,1.5,27.0
3483,5.2,4.1,9.3
3484,2.6,4.5,7.1
3485,3.3,12.0,15.3
3486,3.0,1.5,4.5
3487,22.1,8.2,30.3
3488,50.6,20.7,71.3
3489,,3.0,3.0
349,28.2909090909,9.21818181818,37.5090909091
3490,3.7,12.3,16.0
3491,,9.7,9.7
3492,9.7,1.1,10.8
3493,5.9,5.6,11.5
3494,7.1,10.5,17.6
3495,3.0,1.5,4.5
3496,1.5,13.0,14.5
3499,4.5375,2.6,7.1375
35,10.5,3.3,13.8
350,7.2,7.43636363636,14.6363636364
3500,5.375,6.4375,11.8125
3501,45.7,35.7,81.4
3502,51.3,53.1,104.4
3503,6.7,14.9,21.6
3504,16.7,13.4,30.1
3505,11.5,16.1,27.6
3506,12.2,4.5,16.7
3507,13.1,14.1,27.2
3508,7.1,1.1,8.2
3509,22.6,14.1,36.7
351,17.7454545455,9.21818181818,26.9636363636
3510,4.26666666667,13.7,17.9666666667
3511,3.86666666667,21.3666666667,25.2333333333
3512,3.0,4.83333333333,7.83333333333
3514,4.30952380952,18.3546847889,22.6642085984
3515,367.650845061,183.63216053,551.283005591
3516,27.4728070175,20.8358460253,48.3086530429
3517,5.58015873016,30.3588972431,35.9390559733
3518,13.5174603175,32.4497493734,45.9672096909
352,15.5818181818,30.3818181818,45.9636363636
3520,122.9,103.0,225.9
3521,2.2,4.6,6.8
3522,1.5,3.7,5.2
3524,,,0.0
3525,3.14285714286,2.67142857143,5.81428571429
3526,11.0142857143,23.2142857143,34.2285714286
3527,,,0.0
3528,,1.5,1.5
3529,15.3,28.6,43.9
353,15.8181818182,9.52727272727,25.3454545455
3530,,4.1375,4.1375
3531,3.0,34.0,37.0
3532,1.1,17.9,19.0
3533,2.6,38.8,41.4
3534,5.6,34.7,40.3
3535,3.0,15.9,18.9
3536,7.8,16.0,23.8
3537,1.5,5.9,7.4
3538,1.5,4.1,5.6
3539,7.1,8.1,15.2
354,9.83636363636,22.4727272727,32.3090909091
3540,1.5,6.7,8.2
3541,20.9,1.1,22.0
3542,1.1,6.6,7.7
3543,3.3,5.5,8.8
3544,1.1,1.1,2.2
3545,1.1,,1.1
3546,,,0.0
3547,,1.1,1.1
3549,5.5,2.0,7.5
355,4.30303030303,6.89090909091,11.1939393939
3550,20.1375,34.0875,54.225
3551,5.5,2.0,7.5
3552,,,0.0
3553,,1.1,1.1
3554,,,0.0
3555,1.1,1.1,2.2
3556,6.6,1.1,7.7
3557,,2.2,2.2
3558,,,0.0
356,29.9575757576,24.0181818182,53.9757575758
3561,,11.975,11.975
3563,36.4,22.7375,59.1375
3564,,,0.0
3565,,,0.0
3566,1.1,1.1,2.2
3567,,2.2,2.2
3568,,1.1,1.1
3569,,1.1,1.1
357,14.8727272727,13.1818181818,28.0545454545
3570,16.0638431134,27.4440802676,43.507923381
3571,26.0840311005,15.5535287081,41.6375598086
3573,5.95275119617,13.8166866029,19.769437799
3579,2.8275862069,18.9166092837,21.7441954906
358,27.5818181818,12.7090909091,40.2909090909
3581,2.1,3.0,5.1
3586,5.31578947368,10.0526315789,15.3684210526
3587,73.0,50.0,123.0
3588,31.0,,31.0
3589,5.0,1.0,6.0
